claim_id,article_id,published_at,date,published_date,source,journalist,club,subject_club,player,season,direction,subject_direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_strength,rumor_indicator,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,historical_support_n,match_score,ambiguity_flag,entity_match_indicator,rumor_stage,article_type,source_diversity,rumor_count,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,buyer_club,seller_club,target_club,target_role,target_direction,target_entity_type,target_ticker,target_market_symbol,prediction_scope,public_target_count,has_public_buyer,has_public_seller,label,market_feature_backend,market_feature_status,market_feature_notes,event_date_used,event_trading_date,event_trading_offset_days,estimation_points,market_model_alpha,market_model_beta,pre_window_ok_30d,post_window_ok_10d,pre_raw_return_m1,pre_raw_return_m3,pre_raw_return_m5,pre_raw_return_m10,pre_raw_return_m20,pre_raw_return_m30,pre_market_return_m1,pre_market_return_m3,pre_market_return_m5,pre_market_return_m10,pre_market_return_m20,pre_market_return_m30,pre_abnormal_return_m1,pre_abnormal_return_m3,pre_abnormal_return_m5,pre_abnormal_return_m10,raw_return_0_p1,raw_return_0_p3,raw_return_0_p5,raw_return_0_p10,market_return_0_p1,market_return_0_p3,market_return_0_p5,market_return_0_p10,abnormal_return_0_p1,abnormal_return_0_p3,abnormal_return_0_p5,abnormal_return_0_p10,pre_volatility_20d,post_volatility_20d,volatility_shift_20d,pre_close_zscore_20d,event_close_zscore_20d,pre_volume_zscore_20d,event_volume_zscore_20d,relative_volume_20d,target_abnormal_return_p3,target_label_p3
d2869804aeb56727,b8ef582fb0444565,20220705T101500Z,2022-07-05,2022-07-05,90min.com,,Juventus,Juventus,Matthijs de Ligt,2022-23,out,out,permanent,0,22.0,Centre-Back,70000000.0,67000000.0,,0.9571,3000000.0,0.6604,0.5838,0.5571,0.5571,0.5339,0.5,0.5,0.6875,0.4439,0.48,0.45,0.65,3,0.88,0,0.7333,linked,aggregate,1,1,0.5339,0.5339,0.5571,0.5571,Bayern Munich,Juventus,Juventus,seller,out,club,JUVE.MI,FTSEMIB.MI,direct,1,0,1,,python_fallback,ok,,2022-07-05,2022-07-05,0,120,0.002293,0.986395,1,1,0.013897,-0.002188,-0.02512,-0.020408,-0.0727,0.036364,-0.000515,-0.022442,-0.026677,-0.029995,-0.131157,-0.115714,0.012112,0.01318,-0.010208,-0.013677,-0.001096,0.058114,-0.04057,-0.008224,-0.019818,0.020146,0.006653,0.016492,0.013582,0.027545,-0.059502,-0.046329,0.024316,0.024838,0.000522,-0.094564,-0.141848,-1.582617,-1.589621,0.473242,0.027545,positive
6e9458f9d3295603,2ce8c4ca03324e69,20240718T233000Z,2024-07-18,2024-07-18,caughtoffside.com,,Manchester United,Manchester United,Leny Yoro,2024-25,in,in,permanent,0,18.0,Centre-Back,50000000.0,62000000.0,,1.24,-12000000.0,0.571,0.3855,0.6715,0.6715,0.5803,0.5,0.5,0.5769,0.3691,0.82,0.65,0.95,8,0.9,0,0.75,agreed,report,1,1,0.5803,0.5803,0.6715,0.6715,Manchester United,Lille,Manchester United,buyer,in,club,MANU,^GSPC,direct,1,1,0,,python_fallback,ok,,2024-07-18,2024-07-18,0,120,-0.000916,-0.119227,1,1,-0.024461,-0.005935,-0.004753,0.030769,0.024465,-0.03011,-0.013928,-0.004823,-0.008101,0.014387,0.021019,0.057703,-0.025205,-0.002774,-0.000138,0.044087,-0.003582,0.005373,0.020299,0.002388,-0.014901,-0.005821,-0.03383,-0.025337,-0.00353,0.0086,0.022042,0.010427,0.01874,0.01411,-0.004629,1.231129,0.943014,0.281269,1.994092,1.934291,0.0086,neutral
a7607c12aeecff20,2d06da7c4debf117,20240718T093000Z,2024-07-18,2024-07-18,caughtoffside.com,,Manchester United,Manchester United,Leny Yoro,2024-25,in,in,permanent,0,18.0,Centre-Back,50000000.0,62000000.0,,1.24,-12000000.0,0.571,0.3855,0.5863,0.5863,0.5273,0.5,0.5,0.5769,0.3691,0.4,0.85,0.95,8,0.9,0,0.75,unclear,exclusive,1,1,0.5273,0.5273,0.5863,0.5863,Manchester United,Lille,Manchester United,buyer,in,club,MANU,^GSPC,direct,1,1,0,,python_fallback,ok,,2024-07-18,2024-07-18,0,120,-0.000916,-0.119227,1,1,-0.024461,-0.005935,-0.004753,0.030769,0.024465,-0.03011,-0.013928,-0.004823,-0.008101,0.014387,0.021019,0.057703,-0.025205,-0.002774,-0.000138,0.044087,-0.003582,0.005373,0.020299,0.002388,-0.014901,-0.005821,-0.03383,-0.025337,-0.00353,0.0086,0.022042,0.010427,0.01874,0.01411,-0.004629,1.231129,0.943014,0.281269,1.994092,1.934291,0.0086,neutral
18322e26c6949504,0f1249d7cd621ee3,20220715T124500Z,2022-07-15,2022-07-15,dailypost.ng,,Manchester United,Manchester United,Lisandro Martínez,2022-23,in,in,permanent,0,24.0,Centre-Back,32000000.0,57370000.0,,1.7928,-25370000.0,0.5966,0.4983,0.5448,0.5448,0.5155,0.5,0.5,0.6429,0.3691,0.4,0.65,0.65,2,0.88,0,0.7333,unclear,report,1,1,0.5155,0.5155,0.5448,0.5448,Manchester United,Ajax,Manchester United,buyer,in,club,MANU,^GSPC,direct,2,1,1,,python_fallback,ok,,2022-07-15,2022-07-15,0,120,-0.001483,0.583647,1,1,0.014111,0.02569,-0.006452,-0.043478,-0.003697,-0.155172,-0.002999,-0.016617,-0.02876,-0.00745,0.014697,-0.08271,0.017344,0.039799,0.018414,-0.024488,0.022264,0.034323,0.033395,0.033395,0.010677,0.044724,0.04518,0.089677,0.018904,0.014111,0.016038,-0.000619,0.019624,0.030054,0.01043,-0.866047,-0.153662,-0.348721,-0.817643,0.549516,0.014111,neutral
18322e26c6949504,0f1249d7cd621ee3,20220715T124500Z,2022-07-15,2022-07-15,dailypost.ng,,Ajax NV,Manchester United,Lisandro Martínez,2022-23,out,in,permanent,0,24.0,Centre-Back,32000000.0,57370000.0,,1.7928,-25370000.0,0.8484,0.8031,0.5448,0.5448,0.5155,0.5,0.5,0.6429,0.3691,0.4,0.65,0.65,2,0.88,0,0.7333,unclear,report,1,1,0.5155,0.5155,0.5448,0.5448,Manchester United,Ajax,Ajax NV,seller,out,club,AJAX.AS,^AEX,direct,2,1,1,,python_fallback,ok,,2022-07-15,2022-07-15,0,120,-0.000776,0.24093,1,1,0.00813,-0.008,-0.011952,0.0,0.050847,-0.015873,-0.00931,-0.014137,-0.017441,0.000728,0.033477,-0.062166,0.011149,-0.00213,-0.003731,0.007733,0.004032,0.0,0.012097,0.008065,0.032423,0.052599,0.068712,0.105698,-0.002135,-0.008812,0.001309,-0.006291,0.015792,0.013784,-0.002008,0.434523,0.700165,0.328661,-0.406917,0.510319,-0.008812,neutral
c3ed948da4797835,1f119b44a473b936,20220717T143000Z,2022-07-17,2022-07-17,90min.com,,Manchester United,Manchester United,Lisandro Martínez,2022-23,in,in,permanent,0,24.0,Centre-Back,32000000.0,57370000.0,,1.7928,-25370000.0,0.5966,0.4983,0.6665,0.6665,0.5874,0.5,0.5,0.6875,0.3691,0.82,0.65,0.65,3,0.88,0,0.7333,agreed,report,1,1,0.5874,0.5874,0.6665,0.6665,Manchester United,Ajax,Manchester United,buyer,in,club,MANU,^GSPC,direct,2,1,1,,python_fallback,ok,,2022-07-17,2022-07-18,1,120,-0.001545,0.582733,1,1,0.022264,0.031835,0.027027,-0.008993,0.004558,-0.122611,0.019201,0.011616,-0.009289,0.020547,0.019306,-0.058048,0.012619,0.029483,0.040349,-0.004594,0.012704,0.024501,0.021779,0.014519,0.019034,0.03515,0.026838,0.06613,0.004568,0.010135,0.015383,-0.005695,0.020002,0.030965,0.010963,-0.153662,-0.161252,-0.817643,-0.892399,0.520503,0.010135,neutral
c3ed948da4797835,1f119b44a473b936,20220717T143000Z,2022-07-17,2022-07-17,90min.com,,Ajax NV,Manchester United,Lisandro Martínez,2022-23,out,in,permanent,0,24.0,Centre-Back,32000000.0,57370000.0,,1.7928,-25370000.0,0.8484,0.8031,0.6665,0.6665,0.5874,0.5,0.5,0.6875,0.3691,0.82,0.65,0.65,3,0.88,0,0.7333,agreed,report,1,1,0.5874,0.5874,0.6665,0.6665,Manchester United,Ajax,Ajax NV,seller,out,club,AJAX.AS,^AEX,direct,2,1,1,,python_fallback,ok,,2022-07-17,2022-07-18,1,120,-0.000772,0.241048,1,1,0.008065,0.0,-0.007937,0.01626,0.05042,-0.007937,0.018508,0.001849,-0.003411,0.024768,0.056893,-0.04106,0.004375,0.002008,-0.003122,0.018068,0.016,0.012,0.004,0.0,0.026119,0.048652,0.052224,0.08373,0.011369,0.004185,-0.002996,-0.009528,0.015785,0.014144,-0.00164,0.700165,0.444378,-0.406917,-0.453578,0.462255,0.004185,neutral
b9e18b058a19363e,786906eaa1b22bd7,20250607T194500Z,2025-06-07,2025-06-07,caughtoffside.com,,Borussia Dortmund,Borussia Dortmund,Jamie Gittens,2024-25,unclear,unclear,unclear,0,,,,,,0.0,0.0,0.0,0.0,0.4992,0.4992,0.4721,0.5,0.5,0.5769,0.1422,0.4,0.65,0.5,8,0.0,0,0.0,unclear,report,1,1,0.4721,0.4721,0.4992,0.4992,,,,,,,,,none,0,0,0,,python_fallback,no_public_target,no_public_target,2025-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1db4a57d691d1b82,d5007806863d21b5,20250703T210000Z,2025-07-03,2025-07-03,arabnews.com,,Borussia Dortmund,Borussia Dortmund,Jamie Gittens,2025-26,out,out,permanent,0,20.0,Left Winger,50000000.0,56000000.0,,1.12,-6000000.0,0.697,0.6265,0.555,0.555,0.4959,0.5,0.5,0.5833,0.1422,0.4,0.65,0.95,1,0.78,0,0.65,unclear,report,1,1,0.4959,0.4959,0.555,0.555,Chelsea,Borussia Dortmund,Borussia Dortmund,seller,out,club,BVB.DE,^GDAXI,direct,1,0,1,,python_fallback,ok,,2025-07-03,2025-07-03,0,120,0.001626,0.159796,1,1,0.007712,0.005128,0.009009,0.035667,0.037037,0.026178,0.004935,-0.010116,0.012417,0.020255,-0.020035,-0.013775,0.005298,0.001961,-0.000833,0.015936,-0.01148,-0.021684,-0.006378,0.003826,-0.000112,0.01752,0.028024,0.024414,-0.014742,-0.030864,-0.020174,-0.017412,0.010854,0.010988,0.000134,1.811045,1.410295,1.76649,0.879414,1.547887,-0.030864,negative
bcc20d7a27c499a4,322e674d8308e297,20240614T090000Z,2024-06-14,2024-06-14,teamtalk.com,,Juventus,Juventus,Douglas Luiz,2023-24,unclear,unclear,unclear,0,,,,,,0.0,0.0,0.0,0.0,0.4587,0.4587,0.4647,0.5,0.5,0.3889,0.4439,0.4,0.65,0.5,4,0.0,0,0.0,unclear,report,1,1,0.4647,0.4647,0.4587,0.4587,,,,,,,,,none,0,0,0,,python_fallback,no_public_target,no_public_target,2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
