claim_id,article_id,published_at,date,published_date,source,journalist,club,player,season,direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_strength,rumor_indicator,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,historical_support_n,match_score,ambiguity_flag,entity_match_indicator,rumor_stage,article_type,source_diversity,rumor_count,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,label,market_feature_backend,market_feature_status,market_feature_notes,event_date_used,event_trading_date,event_trading_offset_days,estimation_points,market_model_alpha,market_model_beta,pre_window_ok_30d,post_window_ok_10d,pre_raw_return_m1,pre_raw_return_m3,pre_raw_return_m5,pre_raw_return_m10,pre_raw_return_m20,pre_raw_return_m30,pre_market_return_m1,pre_market_return_m3,pre_market_return_m5,pre_market_return_m10,pre_market_return_m20,pre_market_return_m30,pre_abnormal_return_m1,pre_abnormal_return_m3,pre_abnormal_return_m5,pre_abnormal_return_m10,raw_return_0_p1,raw_return_0_p3,raw_return_0_p5,raw_return_0_p10,market_return_0_p1,market_return_0_p3,market_return_0_p5,market_return_0_p10,abnormal_return_0_p1,abnormal_return_0_p3,abnormal_return_0_p5,abnormal_return_0_p10,pre_volatility_20d,post_volatility_20d,volatility_shift_20d,pre_close_zscore_20d,event_close_zscore_20d,pre_volume_zscore_20d,event_volume_zscore_20d,relative_volume_20d,target_abnormal_return_p3,target_label_p3
f4ad1d3fc111e362,034d5fd9a51a5e34,2024-07-08T21:37:41Z,2024-07-08,2024-07-08,The Guardian / Jamie Jackson,Jamie Jackson,Manchester United,Joshua Zirkzee,2024-25,in,permanent,0,23.0,Centre-Forward,50000000.0,42500000.0,,0.85,7500000.0,0.7837,0.6652,0.73,0.73,0.7313,0.84,0.6842,0.6174,0.6295,0.82,0.65,0.85,36,0.98,0,0.8167,agreed,report,1,1,0.7313,0.7313,0.73,0.73,,python_fallback,ok,,2024-07-08,2024-07-08,0,120,-0.001505,-0.106145,1,1,0.006824,-0.005515,0.024621,0.007449,-0.056395,-0.04078,0.005449,0.016822,0.015379,0.017178,0.039813,0.046187,0.008907,0.000824,0.033776,0.024855,-0.017868,0.038817,0.022797,0.048675,0.001759,0.003116,0.011501,-0.000499,-0.014501,0.046279,0.034744,0.067093,0.018419,0.019729,0.00131,-0.435692,-1.638029,-0.903983,-0.289497,0.871466,0.046279,positive
8be91ec32be8de34,31ba2d85ad2a7f75,20210617T014500Z,2021-06-17,2021-06-17,hitc.com,,Borussia Dortmund,Thomas Delaney,2021-22,out,permanent,0,29.0,Central Midfield,15000000.0,6000000.0,,0.4,9000000.0,0.585,0.5054,0.495,0.495,0.4709,0.5,0.5,0.5833,0.1422,0.4,0.65,0.45,1,0.63,0,0.525,unclear,report,1,1,0.4709,0.4709,0.495,0.495,,python_fallback,ok,,2021-06-17,2021-06-17,0,109,0.001244,0.596869,1,1,-0.000783,-0.019201,-0.017692,0.050164,0.004721,0.115284,-0.001205,0.001102,0.008307,0.006913,0.021057,0.057489,-0.001307,-0.023595,-0.028814,0.033151,-0.003916,-0.016445,-0.027408,0.002349,-0.01671,-0.004725,-0.007723,-0.006795,0.003786,-0.018532,-0.030456,-0.006608,0.01707,0.014583,-0.002486,0.731291,1.13633,-0.554386,-0.308757,0.832164,-0.018532,neutral
d2663d045eef939b,6ebb2d42a655425f,2025-08-06T11:16:51Z,2025-08-06,2025-08-06,The Guardian / Will Unwin,Will Unwin,Manchester United,Benjamin Sesko,2025-26,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.6783,0.6783,0.722,0.84,0.7752,0.7474,0.6747,0.4,0.65,0.95,28,1.06,0,0.8833,unclear,report,1,1,0.722,0.722,0.6783,0.6783,,python_fallback,ok,,2025-08-06,2025-08-06,0,120,0.000579,0.751458,1,1,0.014648,0.023877,0.044058,-0.0,0.058167,-0.051606,-0.004858,-0.006341,-0.01125,-0.001653,0.011834,0.045479,0.01772,0.026613,0.048881,-0.003846,-0.000555,-0.017213,-0.029428,-0.034425,0.006479,0.011789,0.026573,0.015334,-0.006584,-0.028069,-0.052648,-0.052078,0.014427,0.023034,0.008607,1.441179,1.300427,-0.315808,-1.16504,0.70758,-0.028069,negative
6a08f457d43e2ad5,bf9ddc18ba8d0cb0,2025-08-09T09:33:11Z,2025-08-09,2025-08-09,The Guardian / Andy Martin,Andy Martin,Manchester United,Benjamin Sesko,2025-26,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.7295,0.7295,0.7904,0.84,0.8587,0.8667,0.9533,0.4,0.65,0.95,2,1.06,0,0.8833,unclear,report,1,1,0.7904,0.7904,0.7295,0.7295,,python_fallback,ok,,2025-08-09,2025-08-11,2,120,0.000812,0.747225,1,1,-0.027778,-0.028318,-0.003984,0.002865,-0.004551,-0.039517,0.0078,0.014329,0.024277,0.000127,0.02072,0.040454,-0.034418,-0.041442,-0.025556,-0.004794,0.004571,-0.004571,0.004571,-0.014857,0.008813,0.012378,0.009343,0.007805,-0.003582,-0.016968,-0.006898,-0.029052,0.013402,0.022607,0.009204,-0.991324,-0.110526,-0.4555,-0.303492,0.935451,-0.016968,neutral
183bc5d27d2f4360,297f744501e9d7ba,2025-08-07T14:38:46Z,2025-08-07,2025-08-07,The Guardian / Will Unwin,Will Unwin,Manchester United,Benjamin Sesko,2025-26,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.8083,0.8083,0.797,0.84,0.7752,0.7474,0.6747,0.9,0.65,0.95,28,1.06,0,0.8833,medical,report,1,1,0.797,0.797,0.8083,0.8083,,python_fallback,ok,,2025-08-07,2025-08-07,0,120,0.000708,0.749604,1,1,-0.001666,0.023335,0.022172,-0.010457,0.017544,-0.065489,0.007282,0.017161,-0.002804,-0.002178,0.01306,0.041509,-0.007833,0.008237,0.020441,-0.015299,-0.026696,-0.022247,-0.031146,-0.043938,0.006996,0.015871,0.019461,0.003957,-0.033331,-0.036727,-0.049913,-0.054853,0.011961,0.023098,0.011137,1.300427,1.272391,-1.16504,-0.174994,0.957631,-0.036727,negative
ea70a7fc70bde1a4,9ba1d7e82ada0653,2025-07-21T19:07:30Z,2025-07-21,2025-07-21,The Guardian / Will Unwin,Will Unwin,Manchester United,Bryan Mbeumo,2025-26,in,permanent,0,25.0,Right Winger,55000000.0,75000000.0,,1.3636,-20000000.0,0.6682,0.5174,0.6783,0.6783,0.722,0.84,0.7752,0.7474,0.6747,0.4,0.65,0.95,28,1.06,0,0.8833,unclear,report,1,1,0.722,0.722,0.6783,0.6783,,python_fallback,ok,,2025-07-21,2025-07-21,0,120,0.000624,0.73971,1,1,-0.005068,0.002269,0.005119,0.009714,0.021978,0.265759,-9e-05,0.008493,0.005917,0.002777,0.052822,0.054596,-0.005625,-0.005843,-0.002105,0.002551,0.019242,0.016412,-0.013582,0.004527,0.002038,0.01057,0.014766,0.005265,0.016498,0.006282,-0.027579,-0.005433,0.0288,0.013596,-0.015203,-0.199759,-0.255551,-0.995736,-0.836981,0.409606,0.006282,neutral
a18dbe230e1c1ca9,d1b29c446e884abd,2025-07-17T17:22:50Z,2025-07-17,2025-07-17,The Guardian / Will Unwin,Will Unwin,Manchester United,Bryan Mbeumo,2025-26,in,permanent,0,25.0,Right Winger,55000000.0,75000000.0,,1.3636,-20000000.0,0.6682,0.5174,0.7183,0.7183,0.747,0.84,0.7752,0.7474,0.6747,0.6,0.65,0.85,28,1.06,0,0.8833,bid,report,1,1,0.747,0.747,0.7183,0.7183,,python_fallback,ok,,2025-07-17,2025-07-17,0,120,0.000616,0.739704,1,1,0.001134,0.003982,-0.001132,0.038846,0.003982,0.251773,0.003194,0.000631,7e-05,0.010599,0.038221,0.055216,-0.001843,0.001911,-0.003989,0.02564,0.001133,0.020397,0.017564,-0.003399,0.005283,0.007331,0.015909,0.012084,-0.003974,0.012541,0.002341,-0.01812,0.028956,0.012797,-0.016159,-0.187841,-0.003467,-0.706858,-0.832832,0.434934,0.012541,neutral
94393adb6326ac0d,b8ce35470529c823,2025-07-18T12:09:58Z,2025-07-18,2025-07-18,The Guardian / Will Unwin,Will Unwin,Manchester United,Bryan Mbeumo,2025-26,in,permanent,0,25.0,Right Winger,55000000.0,75000000.0,,1.3636,-20000000.0,0.6682,0.5174,0.7875,0.7875,0.785,0.84,0.7752,0.7474,0.6747,0.82,0.65,0.95,28,1.06,0,0.8833,agreed,report,1,1,0.785,0.785,0.7875,0.7875,,python_fallback,ok,,2025-07-18,2025-07-18,0,120,0.000612,0.739618,1,1,0.006232,-0.007267,0.002823,0.017765,0.024812,0.251586,0.005374,0.004594,0.002691,0.011231,0.052591,0.054769,0.001646,-0.012412,-0.001944,0.004372,-0.005631,0.023086,-0.017455,-0.010698,0.001309,0.009774,0.014495,-0.009425,-0.007825,0.013405,-0.031228,-0.009643,0.028774,0.012719,-0.016055,-0.003467,-0.199759,-0.832832,-0.995736,0.315432,0.013405,neutral
2d2c86e40404269e,f976a701012bb1c7,2025-07-05T20:30:33Z,2025-07-05,2025-07-05,The Guardian / Jacob Steinberg and Ben Fisher,Jacob Steinberg and Ben Fisher,Borussia Dortmund,Jamie Gittens,2025-26,out,permanent,0,20.0,Left Winger,50000000.0,56000000.0,,1.12,-6000000.0,0.697,0.6265,0.7329,0.7329,0.7895,0.84,0.872,0.8857,0.88,0.4,0.65,0.95,4,0.86,0,0.7167,unclear,report,1,1,0.7895,0.7895,0.7329,0.7329,,python_fallback,ok,,2025-07-05,2025-07-07,2,120,0.001604,0.160564,1,1,-0.008951,-0.003856,-0.00641,0.011749,0.01706,0.002587,-0.006129,0.004822,-0.010226,0.01871,-0.021272,0.006681,-0.009572,-0.009383,-0.012664,-0.006961,-0.010323,0.005161,-0.002581,-0.002581,0.017634,0.028139,0.015689,0.021875,-0.016091,-0.005366,-0.0143,-0.023113,0.011032,0.011585,0.000553,0.638139,-0.946856,1.32065,0.982973,1.544343,-0.005366,neutral
a4c009d9bebd953b,4e6cdc5ccdca36a7,2025-07-09T15:09:05Z,2025-07-09,2025-07-09,The Guardian / Jacob Steinberg,Jacob Steinberg,Borussia Dortmund,Jamie Gittens,2025-26,out,permanent,0,20.0,Left Winger,50000000.0,56000000.0,,1.12,-6000000.0,0.697,0.6265,0.7682,0.7682,0.7856,0.84,0.812,0.8,0.6518,0.82,0.45,0.85,18,0.82,0,0.6833,agreed,aggregate,1,1,0.7856,0.7856,0.7682,0.7682,,python_fallback,ok,,2025-07-09,2025-07-09,0,120,0.001678,0.162525,1,1,0.011873,-0.019182,-0.014139,-0.009044,0.015894,-0.021684,0.005535,0.011397,0.022541,0.023913,0.009144,-0.000808,0.009296,-0.025906,-0.025886,-0.02906,0.015645,0.007823,0.015645,0.01043,0.010324,-0.001911,-0.00816,0.001401,0.010558,0.0015,0.006926,-0.008027,0.012193,0.010318,-0.001875,-0.119545,0.096516,0.997993,0.745009,1.340402,0.0015,neutral
