source,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
The Guardian / John Brewin and Rob Smyth,1,0,0.0,0.4167,0.0
The Guardian / Billy Munday at Portman Road,1,0,0.0,0.4167,0.0
The Guardian / Philipp Lahm,1,0,0.0,0.4167,0.0
The Guardian / Peter Lansley,1,0,0.0,0.4167,0.0
The Guardian / Nick Ames,2,0,0.0,0.3571,0.0
The Guardian,1,0,0.0,0.4167,0.0
The Guardian / Guardian writers and agencies,1,0,0.0,0.4167,0.0
The Guardian / Donald McRae,1,0,0.0,0.4167,0.0
The Guardian / Guardian sport with agencies,1,0,0.0,0.4167,0.0
"The Guardian / Tom Garry, Réshma Rao, Sophie Downey and Mitul Samji",1,0,0.0,0.4167,0.0
The Guardian / Arthur Renard in Enschede,1,0,0.0,0.4167,0.0
The Guardian / Michael Yokhin,1,0,0.0,0.4167,0.0
"The Guardian / Luke McLaughlin, Billy Munday and Taha Hashim",1,0,0.0,0.4167,0.0
Manchester Evening News,3,2,0.6667,0.5625,0.5333
Sports Mole,6,2,0.3333,0.4091,0.2917
Yardbarker,17,4,0.2353,0.2955,0.2006
Sports Illustrated,1,0,0.0,0.4167,0.0
BBC News,1,0,0.0,0.4167,0.0
GIVEMESPORT,4,0,0.0,0.2778,0.0
Devdiscourse,2,0,0.0,0.3571,0.0
Metro.co.uk,1,0,0.0,0.4167,0.0
talkSPORT.com,1,0,0.0,0.4167,0.0
Teamtalk.com,2,0,0.0,0.3571,0.0
Birmingham Live,1,1,1.0,0.5833,0.93
Daily Record,1,0,0.0,0.4167,0.0
