club,journalist,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
Borussia Dortmund,Exclusive by Jacob Steinberg,1,0,0.0,0.4167,0.0
Borussia Dortmund,"Simon Burnton, David Tindall, Dominic Booth and Taha Hashim",1,0,0.0,0.4167,0.0
Borussia Dortmund,Scott Murray,1,0,0.0,0.4167,0.0
Borussia Dortmund,Exclusive by Matt Hughes,2,0,0.0,0.3571,0.0
Borussia Dortmund,Barry Glendenning,1,0,0.0,0.4167,0.0
Borussia Dortmund,Ben Fisher,3,0,0.0,0.3125,0.0
Borussia Dortmund,Nicky Bandini,1,0,0.0,0.4167,0.0
Borussia Dortmund,Matt Hughes,1,0,0.0,0.4167,0.0
Borussia Dortmund,Jamie Jackson,1,0,0.0,0.4167,0.0
Borussia Dortmund,Alexander Abnos,1,0,0.0,0.4167,0.0
Borussia Dortmund,Dominic Booth,1,0,0.0,0.4167,0.0
Borussia Dortmund,Andy McGrath (now) and Tom Bassam,1,0,0.0,0.4167,0.0
Borussia Dortmund,Emillia Hawkins,1,0,0.0,0.4167,0.0
Borussia Dortmund,"Dominic Booth, Barry Glendenning and Michael Butler",1,0,0.0,0.4167,0.0
Borussia Dortmund,Tom Garry,2,0,0.0,0.3571,0.0
Borussia Dortmund,Jack Snape,1,0,0.0,0.4167,0.0
Borussia Dortmund,Sid Lowe in Barcelona,1,0,0.0,0.4167,0.0
Borussia Dortmund,Yara El-Shaboury,1,0,0.0,0.4167,0.0
Borussia Dortmund,Exclusive by Tom Garry,1,0,0.0,0.4167,0.0
Borussia Dortmund,Alex Ibaceta in Barcelona,1,0,0.0,0.4167,0.0
Borussia Dortmund,John Brewin and Rob Smyth,1,0,0.0,0.4167,0.0
Borussia Dortmund,Billy Munday at Portman Road,1,0,0.0,0.4167,0.0
Borussia Dortmund,Philipp Lahm,1,0,0.0,0.4167,0.0
Borussia Dortmund,Jacob Steinberg at the London Stadium,1,0,0.0,0.4167,0.0
Borussia Dortmund,Peter Lansley,1,0,0.0,0.4167,0.0
Juventus,Nicky Bandini,5,0,0.0,0.25,0.0
Juventus,Nick Ames,1,0,0.0,0.4167,0.0
Juventus,,11,4,0.3636,0.4062,0.3282
Juventus,Sid Lowe,1,0,0.0,0.4167,0.0
Juventus,Agencies,1,0,0.0,0.4167,0.0
Juventus,John Brewin,1,0,0.0,0.4167,0.0
Juventus,Guardian writers and agencies,1,0,0.0,0.4167,0.0
Juventus,Donald McRae,1,0,0.0,0.4167,0.0
Juventus,Guardian sport,2,0,0.0,0.3571,0.0
Juventus,Andy Hunter,1,0,0.0,0.4167,0.0
Lazio,Nick Ames,1,0,0.0,0.4167,0.0
Lazio,Rob Smyth,1,0,0.0,0.4167,0.0
Lazio,John Brewin,1,0,0.0,0.4167,0.0
Lazio,Jacob Steinberg at the London Stadium,1,0,0.0,0.4167,0.0
Lazio,Guardian sport,1,0,0.0,0.4167,0.0
Lazio,Guardian sport with agencies,1,0,0.0,0.4167,0.0
Lazio,Ed Aarons,3,0,0.0,0.3125,0.0
Lazio,David Hytner,2,0,0.0,0.3571,0.0
Lazio,Barry Glendenning,1,0,0.0,0.4167,0.0
Lazio,"Tom Garry, Réshma Rao, Sophie Downey and Mitul Samji",1,0,0.0,0.4167,0.0
Lazio,Arthur Renard in Enschede,1,0,0.0,0.4167,0.0
Lazio,Will Unwin,2,0,0.0,0.3571,0.0
Lazio,Michael Yokhin,1,0,0.0,0.4167,0.0
Lazio,Scott Murray,1,0,0.0,0.4167,0.0
Lazio,"Luke McLaughlin, Billy Munday and Taha Hashim",1,0,0.0,0.4167,0.0
Lazio,Exclusive by Matt Hughes,1,0,0.0,0.4167,0.0
Manchester United,,10,2,0.2,0.3,0.16
Borussia Dortmund,,10,0,0.0,0.1667,0.0
Lazio,,10,3,0.3,0.3667,0.248
