strategy,status,n_trades,long_trades,short_trades,clubs_covered,win_rate,avg_trade_return,median_trade_return,avg_abnormal_return,portfolio_total_return,sharpe_like,max_drawdown,turnover,annualized_turnover,start_date,end_date,raw_signal_rows,deduped_signal_rows
heuristic_long_short,ok,11,7,4,4,0.3636,0.001259,-0.004121,-0.003317,0.012193,0.547313,-0.058497,0.366667,92.4,2025-07-07,2026-02-19,16,11
journalist_long_short,ok,11,7,4,4,0.3636,0.001259,-0.004121,-0.003317,0.012193,0.547313,-0.058497,0.366667,92.4,2025-07-07,2026-02-19,14,11
model_short_negative,ok,2,0,2,1,0.5,0.001818,0.001818,0.013768,0.003386,1.548325,-0.008475,0.333333,84.0,2026-01-05,2026-05-08,2,2
model_long_short_strong_stage,ok,2,2,0,2,0.0,-0.016909,-0.016909,-0.031665,-0.033534,-8.053688,-0.02765,0.333333,84.0,2025-07-07,2026-01-29,2,2
blended_long_short,ok,28,26,2,4,0.25,-0.004307,-0.014048,-0.008418,-0.048519,-0.752599,-0.145141,0.5,126.0,2025-07-04,2026-04-30,39,28
model_long_short,ok,6,4,2,2,0.1667,-0.012663,-0.01241,-0.015384,-0.052509,-3.857886,-0.04908,0.352941,88.9412,2025-07-07,2026-05-08,7,6
model_long_positive,ok,4,4,0,2,0.0,-0.019904,-0.016909,-0.02996,-0.055707,-5.317449,-0.040952,0.363636,91.6364,2025-07-07,2026-02-06,5,4
