claim_id,article_id,published_at,source,journalist,primary_player,primary_club,rumor_stage,transfer_direction,is_transfer_related,matched_transfer_id,match_score,match_reason,ambiguity_flag,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,article_type,historical_support_n,credibility_notes
3fbb88cfda736c60,d9d101e7c8c1b2e6,2025-06-23T07:22:34Z,The Guardian / Will Unwin,Will Unwin,Diego León,Manchester United,linked,in,1,,0.0,missing_player_signal,0,0.7015,0.84,0.7752,0.7474,0.6747,0.48,0.45,0.5,aggregate,28,unmatched_claim
94921deda8962ca6,b3983471c56515a7,2025-08-22T08:25:20Z,The Guardian / Yara El-Shaboury,Yara El-Shaboury,Giovanni Reyna,Borussia Dortmund,linked,unclear,1,e459aead7bdffe25,0.9,exact_player|exact_club|season_match|date_near|type_match,0,0.7931,0.84,0.872,0.8857,0.896,0.48,0.45,0.95,aggregate,4,
7c6f0857fb0faae5,18450a233c4f9248,2025-12-16T11:49:09Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Pascal Groß,Borussia Dortmund,unclear,in,1,812dc2d02124f4d2,0.66,exact_player|exact_club|season_match|date_near|direction_conflict|type_conflict,0,0.7226,0.84,0.812,0.8,0.6518,0.4,0.65,0.65,report,18,
8fe49b5939d3d9aa,94978d2c7011e74c,2026-01-02T17:43:50Z,"The Guardian / John Brewin , Tom Bassam, Tom Davies and Taha Hashim","John Brewin , Tom Bassam, Tom Davies and Taha Hashim",Pascal Groß,Borussia Dortmund,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.2,0.5,live_blog,2,not_transfer_related|unmatched_claim|live_blog_penalty|low_history_support
e810bcf74dd778c8,5b16b4b3de992a73,2026-01-02T15:53:19Z,The Guardian / Ed Aarons,Ed Aarons,Pascal Groß,Borussia Dortmund,unclear,unclear,1,812dc2d02124f4d2,0.9,exact_player|exact_club|season_match|date_near|type_match,0,0.7106,0.84,0.7738,0.7455,0.5673,0.4,0.65,0.95,report,12,
b1ab77bf4b1d6985,8faeec51a82c6424,2026-01-22T09:39:01Z,The Guardian / Yara El-Shaboury,Yara El-Shaboury,Edoardo Motta,Lazio,linked,in,1,a8a89986c6570022,0.98,exact_player|exact_club|season_match|date_near|direction_match|type_match,0,0.7913,0.84,0.872,0.8857,0.928,0.48,0.45,0.85,aggregate,4,
0e11c1bde551bbf5,c1b1d2968a1f57b0,2026-01-15T07:22:19Z,The Guardian / Will Unwin,Will Unwin,Edoardo Motta,Lazio,linked,in,1,a8a89986c6570022,0.96,exact_player|exact_club|season_match|date_near|direction_match|type_match,0,0.7168,0.84,0.7752,0.7474,0.7525,0.48,0.45,0.65,aggregate,28,
2c27ae2701b958b6,bdf57348e177dbae,2026-03-13T18:18:49Z,The Guardian / Lisa O’Carroll,Lisa O’Carroll,Gabriel Taliari,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.65,0.5,report,2,not_transfer_related|unmatched_claim|low_history_support
443137b86f6b7ce1,cfa3b1ce1cd1ff0d,2026-02-25T21:34:33Z,The Guardian / Dani Anguiano,Dani Anguiano,Gabriel Taliari,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.65,0.5,report,2,not_transfer_related|unmatched_claim|low_history_support
a7f729ba97d00654,2d21d97a99d9ecd5,2026-02-18T16:07:54Z,The Guardian / Tom Ambrose (now) and Taz Ali (earlier),Tom Ambrose (now) and Taz Ali (earlier),Gabriel Taliari,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.2,0.5,live_blog,2,not_transfer_related|unmatched_claim|live_blog_penalty|low_history_support
92b37fdc51f60625,663eb0f3479e6ec6,2026-02-27T06:45:34Z,The Guardian / Martin Belam,Martin Belam,Gabriel Taliari,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.65,0.5,report,2,not_transfer_related|unmatched_claim|low_history_support
799e88f17fbe712d,11b6ae1a7a3bb60a,2025-03-04T14:00:03Z,The Guardian / Kelly Burke Arts reporter,Kelly Burke Arts reporter,Ênio,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.65,0.5,report,2,not_transfer_related|unmatched_claim|low_history_support
4edb175b4bf0adf1,acf82f6339df9c2f,2025-03-25T13:37:06Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Ênio,Juventus,unclear,in,1,1c1da1dde67046df,0.98,exact_player|exact_club|season_match|date_near|direction_match|type_match|ambiguous_close_second,1,0.686,0.84,0.812,0.8,0.898,0.4,0.65,0.95,report,18,ambiguous_match
7b22f3ab09034844,b49b7c6e3edb8ea8,2025-03-02T21:36:39Z,The Guardian / Tom Garry,Tom Garry,Ênio,Juventus,talks,in,1,1c1da1dde67046df,0.86,exact_player|exact_club|season_match|date_near|direction_match|type_conflict|ambiguous_close_second,1,0.7173,0.84,0.872,0.8857,0.88,0.55,0.65,0.65,report,4,ambiguous_match
727c7dba519664ef,3d3825bcdde0d02f,2025-03-08T02:19:41Z,"The Guardian / Coral Murphy Marcos, Chris Stein, Erum Salam and Tom Ambrose (earlier)","Coral Murphy Marcos, Chris Stein, Erum Salam and Tom Ambrose (earlier)",Ênio,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.2,0.5,live_blog,2,not_transfer_related|unmatched_claim|live_blog_penalty|low_history_support
69ec037db746611d,5850b5d54fde6406,2025-03-17T17:12:03Z,The Guardian,,Ênio,Juventus,medical,unclear,1,1c1da1dde67046df,0.88,exact_player|exact_club|season_match|date_near|type_match|ambiguous_close_second,1,0.7412,0.84,0.84,0.8667,0.872,0.9,0.35,0.65,analysis,1,ambiguous_match|low_history_support
