strategy,status,n_trades,long_trades,short_trades,clubs_covered,win_rate,avg_trade_return,median_trade_return,avg_abnormal_return,portfolio_total_return,sharpe_like,max_drawdown,turnover,annualized_turnover,start_date,end_date,raw_signal_rows,deduped_signal_rows
model_short_negative,ok,1,0,1,1,1.0,0.015385,0.015385,0.03791,0.015193,7.385419,-0.004778,0.333333,84.0,2025-07-07,2025-07-09,1,1
model_long_short_strong_stage,ok,1,0,1,1,1.0,0.015385,0.015385,0.03791,0.015193,7.385419,-0.004778,0.333333,84.0,2025-07-07,2025-07-09,1,1
heuristic_long_short,ok,12,7,5,5,0.3333,-0.001182,-0.005457,-0.005279,0.005817,0.366554,-0.058497,0.4,100.8,2025-07-07,2026-02-19,17,12
journalist_long_short,ok,12,7,5,5,0.3333,-0.001182,-0.005457,-0.005279,0.005817,0.366554,-0.058497,0.4,100.8,2025-07-07,2026-02-19,15,12
model_long_short,ok,3,2,1,2,0.3333,-0.013191,-0.018595,-0.01204,-0.039914,-6.770664,-0.058801,0.333333,84.0,2025-07-07,2026-01-27,3,3
model_long_positive,ok,2,2,0,2,0.0,-0.02748,-0.02748,-0.037015,-0.054283,-17.580471,-0.051015,0.333333,84.0,2025-07-21,2026-01-27,2,2
blended_long_short,ok,27,26,1,5,0.1852,-0.011293,-0.015819,-0.016496,-0.184323,-4.319171,-0.196508,0.519231,130.8462,2025-07-04,2026-02-19,35,27
